482010055,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],O3,,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,44201,1,Ozone,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Solar Radiation,,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,63301,1,Solar Radiation,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Temperature (Outdoor),,,,,TCEQ,1,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62101,1,Outdoor Temperature,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Wind,,,,,TCEQ,5,Active,,current day,
,,,,,,,,,,Ê|Êcurrent month,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,61101,1,Wind Speed - Scalar,AIR,Active,,,,,,
,61103,1,Wind Speed - Resultant,AIR,Active,,,,,,
,61104,1,Wind Direction - Resultant,AIR,Active,,,,,,
,61105,1,Peak Wind Gust,AIR,Active,,,,,,
,61106,1,Std Dev Hz Wind Direction,AIR,Active,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Canister (Multiple),,,,,,87,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43000,4,Sum of PAMS Target Compounds,AIR,Inactive,,,,,,
,43102,4,Total NMOC,AIR,Inactive,,,,,,
,43173,4,1-Hexene & 2-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43202,4,Ethane,AIR,Inactive,,,,,,
,43203,4,Ethylene,AIR,Inactive,,,,,,
,43204,4,Propane,AIR,Inactive,,,,,,
,43205,4,Propylene,AIR,Inactive,,,,,,
,43206,4,Acetylene,AIR,Inactive,,,,,,
,43212,4,n-Butane,AIR,Inactive,,,,,,
,43214,4,Isobutane,AIR,Inactive,,,,,,
,43216,4,trans-2-Butene,AIR,Inactive,,,,,,
,43217,4,cis-2-Butene,AIR,Inactive,,,,,,
,43218,4,"1,3-Butadiene",AIR,Inactive,,,,,,
,43220,4,n-Pentane,AIR,Inactive,,,,,,
,43221,4,Isopentane,AIR,Inactive,,,,,,
,43224,4,1-Pentene,AIR,Inactive,,,,,,
,43226,4,trans-2-Pentene,AIR,Inactive,,,,,,
,43227,4,cis-2-Pentene,AIR,Inactive,,,,,,
,43228,4,2-Methyl-2-Butene,AIR,Inactive,,,,,,
,43230,4,3-Methylpentane,AIR,Inactive,,,,,,
,43231,4,n-Hexane,AIR,Inactive,,,,,,
,43232,4,n-Heptane,AIR,Inactive,,,,,,
,43233,4,n-Octane,AIR,Inactive,,,,,,
,43234,4,4-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43235,4,n-Nonane,AIR,Inactive,,,,,,
,43238,4,n-Decane,AIR,Inactive,,,,,,
,43242,4,Cyclopentane,AIR,Inactive,,,,,,
,43243,4,Isoprene,AIR,Inactive,,,,,,
,43244,4,"2,2-Dimethylbutane",AIR,Inactive,,,,,,
,43246,4,2-Methyl-1-Pentene,AIR,Inactive,,,,,,
,43247,4,"2,4-Dimethylpentane",AIR,Inactive,,,,,,
,43248,4,Cyclohexane,AIR,Inactive,,,,,,
,43249,4,3-Methylhexane,AIR,Inactive,,,,,,
,43250,4,"2,2,4-Trimethylpentane",AIR,Inactive,,,,,,
,43252,4,"2,3,4-Trimethylpentane",AIR,Inactive,,,,,,
,43253,4,3-Methylheptane,AIR,Inactive,,,,,,
,43261,4,Methylcyclohexane,AIR,Inactive,,,,,,
,43262,4,Methylcyclopentane,AIR,Inactive,,,,,,
,43263,4,2-Methylhexane,AIR,Inactive,,,,,,
,43280,4,1-Butene,AIR,Inactive,,,,,,
,43282,4,3-Methyl-1-Butene,AIR,Inactive,,,,,,
,43283,4,Cyclopentene,AIR,Inactive,,,,,,
,43284,4,"2,3-Dimethylbutane",AIR,Inactive,,,,,,
,43285,4,2-Methylpentane,AIR,Inactive,,,,,,
,43289,4,trans-2-Hexene,AIR,Inactive,,,,,,
,43290,4,cis-2-Hexene,AIR,Inactive,,,,,,
,43291,4,"2,3-Dimethylpentane",AIR,Inactive,,,,,,
,43331,4,2-Chloropentane,AIR,Inactive,,,,,,
,43372,4,Methyl Tert-Butyl Ether,AIR,Inactive,,,,,,
,43802,4,Dichloromethane,AIR,Inactive,,,,,,
,43803,4,Chloroform,AIR,Inactive,,,,,,
,43804,4,Carbon Tetrachloride,AIR,Inactive,,,,,,
,43811,4,Trichlorofluoromethane,AIR,Inactive,,,,,,
,43813,4,"1,1-Dichloroethane",AIR,Inactive,,,,,,
,43814,4,Methyl Chloroform,AIR,Inactive,,,,,,
,43815,4,Ethylene Dichloride,AIR,Inactive,,,,,,
,43817,4,Tetrachloroethylene,AIR,Inactive,,,,,,
,43818,4,"1,1,2,2-Tetrachloroethane",AIR,Inactive,,,,,,
,43819,4,Bromomethane,AIR,Inactive,,,,,,
,43820,4,"1,1,2-Trichloroethane",AIR,Inactive,,,,,,
,43824,4,Trichloroethylene,AIR,Inactive,,,,,,
,43826,4,"1,1-Dichloroethylene",AIR,Inactive,,,,,,
,43829,4,"1,2-Dichloropropane",AIR,Inactive,,,,,,
,43830,4,"trans-1,3-Dichloropropene",AIR,Inactive,,,,,,
,43831,4,"cis-1,3-Dichloropropene",AIR,Inactive,,,,,,
,43835,4,Chloroprene,AIR,Inactive,,,,,,
,43843,4,Ethylene Dibromide,AIR,Inactive,,,,,,
,43860,4,Vinyl Chloride,AIR,Inactive,,,,,,
,43954,4,n-Undecane,AIR,Inactive,,,,,,
,43960,4,2-Methylheptane,AIR,Inactive,,,,,,
,45109,4,m/p Xylene,AIR,Inactive,,,,,,
,45201,4,Benzene,AIR,Inactive,,,,,,
,45202,4,Toluene,AIR,Inactive,,,,,,
,45203,4,Ethylbenzene,AIR,Inactive,,,,,,
,45204,4,o-Xylene,AIR,Inactive,,,,,,
,45207,4,"1,3,5-Trimethylbenzene",AIR,Inactive,,,,,,
,45208,4,"1,2,4-Trimethylbenzene",AIR,Inactive,,,,,,
,45209,4,n-Propylbenzene,AIR,Inactive,,,,,,
,45210,4,Isopropylbenzene,AIR,Inactive,,,,,,
,45211,4,o-Ethyltoluene,AIR,Inactive,,,,,,
,45212,4,m-Ethyltoluene,AIR,Inactive,,,,,,
,45213,4,p-Ethyltoluene,AIR,Inactive,,,,,,
,45218,4,m-Diethylbenzene,AIR,Inactive,,,,,,
,45219,4,p-Diethylbenzene,AIR,Inactive,,,,,,
,45220,4,Styrene,AIR,Inactive,,,,,,
,45225,4,"1,2,3-Trimethylbenzene",AIR,Inactive,,,,,,
,45801,4,Chlorobenzene,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Carbonyl,,,,,,34,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43502,3,Formaldehyde,AIR,Inactive,,,,,,
,43502,5,Formaldehyde,AIR,Inactive,,,,,,
,43503,3,Acetaldehyde,AIR,Inactive,,,,,,
,43503,5,Acetaldehyde,AIR,Inactive,,,,,,
,43504,3,Propionaldehyde,AIR,Inactive,,,,,,
,43504,5,Propionaldehyde,AIR,Inactive,,,,,,
,43505,3,Acrolein - Unverified,AIR,Inactive,,,,,,
,43505,5,Acrolein - Unverified,AIR,Inactive,,,,,,
,43510,3,Butyraldehyde,AIR,Inactive,,,,,,
,43510,5,Butyraldehyde,AIR,Inactive,,,,,,
,43513,3,Isovaleraldehyde,AIR,Inactive,,,,,,
,43513,5,Isovaleraldehyde,AIR,Inactive,,,,,,
,43516,3,trans-Crotonaldehyde,AIR,Inactive,,,,,,
,43516,5,trans-Crotonaldehyde,AIR,Inactive,,,,,,
,43517,3,Hexanaldehyde,AIR,Inactive,,,,,,
,43517,5,Hexanaldehyde,AIR,Inactive,,,,,,
,43518,3,Valeraldehyde,AIR,Inactive,,,,,,
,43518,5,Valeraldehyde,AIR,Inactive,,,,,,
,43549,3,Methyl Ethyl Ketone & Methacrolein,AIR,Inactive,,,,,,
,43549,5,Methyl Ethyl Ketone & Methacrolein,AIR,Inactive,,,,,,
,43551,3,Acetone,AIR,Inactive,,,,,,
,43551,5,Acetone,AIR,Inactive,,,,,,
,43950,3,Heptanal,AIR,Inactive,,,,,,
,43950,5,Heptanal,AIR,Inactive,,,,,,
,45501,3,Benzaldehyde,AIR,Inactive,,,,,,
,45501,5,Benzaldehyde,AIR,Inactive,,,,,,
,45503,3,"2,5-Dimethylbenzaldehyde",AIR,Inactive,,,,,,
,45503,5,"2,5-Dimethylbenzaldehyde",AIR,Inactive,,,,,,
,45505,3,o-Tolualdehyde,AIR,Inactive,,,,,,
,45505,5,o-Tolualdehyde,AIR,Inactive,,,,,,
,45507,3,p-Tolualdehyde,AIR,Inactive,,,,,,
,45507,5,p-Tolualdehyde,AIR,Inactive,,,,,,
,45508,3,m-Tolualdehyde,AIR,Inactive,,,,,,
,45508,5,m-Tolualdehyde,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Dew Point,,,,,,1,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62103,1,Dew Point,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],NOY (High Sensitivity),,,,,,3,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,42600,2,Reactive Oxides Of Nitrogen (NOy),AIR,Inactive,,,,,,
,42601,2,Nitric Oxide (NO),AIR,Inactive,,,,,,
,42602,2,Nitrogen Dioxide (NO2),AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],NOZ,,,,,,1,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,11068,2,NOZ,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],O3,,,,,,1,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,44201,2,Ozone,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],PM2.5 (Speciation),,,,,,71,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,68103,5,Ambient Min Temperature,AIR,Inactive,,,,,,
,68104,5,Ambient Max Temperature,AIR,Inactive,,,,,,
,68105,5,Ambient Temperature,AIR,Inactive,,,,,,
,68106,5,Sample Min Baro Pressure,AIR,Inactive,,,,,,
,68107,5,Sample Max Baro Pressure,AIR,Inactive,,,,,,
,68108,5,Sample Baro Pressure,AIR,Inactive,,,,,,
,88101,5,Pm2.5 - Local Conditions,AIR,Inactive,,,,,,
,88102,5,Antimony Pm2.5 Lc,AIR,Inactive,,,,,,
,88103,5,Arsenic Pm2.5 Lc,AIR,Inactive,,,,,,
,88104,5,Aluminum Pm2.5 Lc,AIR,Inactive,,,,,,
,88107,5,Barium Pm2.5 Lc,AIR,Inactive,,,,,,
,88109,5,Bromine Pm2.5 Lc,AIR,Inactive,,,,,,
,88110,5,Cadmium Pm2.5 Lc,AIR,Inactive,,,,,,
,88111,5,Calcium Pm2.5 Lc,AIR,Inactive,,,,,,
,88112,5,Chromium Pm2.5 Lc,AIR,Inactive,,,,,,
,88113,5,Cobalt Pm2.5 Lc,AIR,Inactive,,,,,,
,88114,5,Copper Pm2.5 Lc,AIR,Inactive,,,,,,
,88115,5,Chlorine Pm2.5 Lc,AIR,Inactive,,,,,,
,88117,5,Cerium Pm2.5 Lc,AIR,Inactive,,,,,,
,88118,5,Cesium Pm2.5 Lc,AIR,Inactive,,,,,,
,88121,5,Europium Pm2.5 Lc,AIR,Inactive,,,,,,
,88124,5,Gallium Pm2.5 Lc,AIR,Inactive,,,,,,
,88126,5,Iron Pm2.5 Lc,AIR,Inactive,,,,,,
,88127,5,Hafnium Pm2.5 Lc,AIR,Inactive,,,,,,
,88128,5,Lead Pm2.5 Lc,AIR,Inactive,,,,,,
,88131,5,Indium Pm2.5 Lc,AIR,Inactive,,,,,,
,88132,5,Manganese Pm2.5 Lc,AIR,Inactive,,,,,,
,88133,5,Iridium Pm2.5 Lc,AIR,Inactive,,,,,,
,88134,5,Molybdenum Pm2.5 Lc,AIR,Inactive,,,,,,
,88136,5,Nickel Pm2.5 Lc,AIR,Inactive,,,,,,
,88140,5,Magnesium Pm2.5 Lc,AIR,Inactive,,,,,,
,88142,5,Mercury Pm2.5 Lc,AIR,Inactive,,,,,,
,88143,5,Gold Pm2.5 Lc,AIR,Inactive,,,,,,
,88146,5,Lanthanum Pm2.5 Lc,AIR,Inactive,,,,,,
,88147,5,Niobium Pm2.5 Lc,AIR,Inactive,,,,,,
,88152,5,Phosphorus Pm2.5 Lc,AIR,Inactive,,,,,,
,88154,5,Selenium Pm2.5 Lc,AIR,Inactive,,,,,,
,88160,5,Tin Pm2.5 Lc,AIR,Inactive,,,,,,
,88161,5,Titanium Pm2.5 Lc,AIR,Inactive,,,,,,
,88162,5,Samarium Pm2.5 Lc,AIR,Inactive,,,,,,
,88163,5,Scandium Pm2.5 Lc,AIR,Inactive,,,,,,
,88164,5,Vanadium Pm2.5 Lc,AIR,Inactive,,,,,,
,88165,5,Silicon Pm2.5 Lc,AIR,Inactive,,,,,,
,88166,5,Silver Pm2.5 Lc,AIR,Inactive,,,,,,
,88167,5,Zinc Pm2.5 Lc,AIR,Inactive,,,,,,
,88168,5,Strontium Pm2.5 Lc,AIR,Inactive,,,,,,
,88169,5,Sulfur Pm2.5 Lc,AIR,Inactive,,,,,,
,88170,5,Tantalum Pm2.5 Lc,AIR,Inactive,,,,,,
,88172,5,Terbium Pm2.5 Lc,AIR,Inactive,,,,,,
,88176,5,Rubidium Pm2.5 Lc,AIR,Inactive,,,,,,
,88180,5,Potassium Pm2.5 Lc,AIR,Inactive,,,,,,
,88183,5,Yttrium Pm2.5 Lc,AIR,Inactive,,,,,,
,88184,5,Sodium Pm2.5 Lc,AIR,Inactive,,,,,,
,88185,5,Zirconium Pm2.5 Lc,AIR,Inactive,,,,,,
,88186,5,Tungsten Pm2.5 Lc,AIR,Inactive,,,,,,
,88301,5,Ammonium Ion Pm2.5 Lc,AIR,Inactive,,,,,,
,88302,5,Sodium Ion Pm2.5 Lc,AIR,Inactive,,,,,,
,88303,5,Potassium Ion Pm2.5 Lc,AIR,Inactive,,,,,,
,88304,5,Ocx Carbon Pm2.5 Lc,AIR,Inactive,,,,,,
,88305,5,Oc Csn Unadjusted Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88306,5,Total Nitrate Pm2.5 Lc,AIR,Inactive,,,,,,
,88307,5,EC Csn Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88308,5,Carbonate Carbon Csn Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88310,5,Non-Volatile Nitrate Pm2.5 Lc,AIR,Inactive,,,,,,
,88311,5,Ocx2 Carbon Pm2.5 Lc,AIR,Inactive,,,,,,
,88332,5,Oc1 Csn Unadjusted Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88333,5,Oc2 Csn Unadjusted Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88334,5,Oc3 Csn Unadjusted Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88335,5,Oc4 Csn Unadjusted Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88336,5,Op Csn Pm2.5 Lc Tot,AIR,Inactive,,,,,,
,88403,5,Sulfate Pm2.5 Lc,AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Relative Humidity,,,,,,1,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,62201,1,Relative Humidity (%RH),AIR,Inactive,,,,,,
,Sampler Type,,,,,Sampler Operator,Params,Status,Disclaimer,Data Options,Docs
[-],Visibility,,,,,,1,Inactive,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,63101,1,Visibility,AIR,Inactive,,,,,,
