482010057,Sampler Operator,,,,,Params,Status,Disclaimer,Data Options,,
[-],Canister (Single),,,,,TCEQ,116,Active,,validated data,
,Param Code,POC/Seg Cd,Param,Carrier,Status,,,,,,
,43141,2,n-Dodecane,AIR,Inactive,,,,,,
,43141,3,n-Dodecane,AIR,Inactive,,,,,,
,43202,2,Ethane,AIR,Inactive,,,,,,
,43202,3,Ethane,AIR,Inactive,,,,,,
,43203,2,Ethylene,AIR,Inactive,,,,,,
,43203,3,Ethylene,AIR,Inactive,,,,,,
,43204,2,Propane,AIR,Inactive,,,,,,
,43204,3,Propane,AIR,Inactive,,,,,,
,43205,2,Propylene,AIR,Inactive,,,,,,
,43205,3,Propylene,AIR,Inactive,,,,,,
,43206,2,Acetylene,AIR,Inactive,,,,,,
,43206,3,Acetylene,AIR,Inactive,,,,,,
,43212,2,n-Butane,AIR,Inactive,,,,,,
,43212,3,n-Butane,AIR,Inactive,,,,,,
,43214,2,Isobutane,AIR,Inactive,,,,,,
,43214,3,Isobutane,AIR,Inactive,,,,,,
,43216,2,trans-2-Butene,AIR,Inactive,,,,,,
,43216,3,trans-2-Butene,AIR,Inactive,,,,,,
,43217,2,cis-2-Butene,AIR,Inactive,,,,,,
,43217,3,cis-2-Butene,AIR,Inactive,,,,,,
,43218,2,"1,3-Butadiene",AIR,Inactive,,,,,,
,43218,3,"1,3-Butadiene",AIR,Inactive,,,,,,
,43220,2,n-Pentane,AIR,Inactive,,,,,,
,43220,3,n-Pentane,AIR,Inactive,,,,,,
,43221,2,Isopentane,AIR,Inactive,,,,,,
,43221,3,Isopentane,AIR,Inactive,,,,,,
,43224,2,1-Pentene,AIR,Inactive,,,,,,
,43224,3,1-Pentene,AIR,Inactive,,,,,,
,43226,2,trans-2-Pentene,AIR,Inactive,,,,,,
,43226,3,trans-2-Pentene,AIR,Inactive,,,,,,
,43227,2,cis-2-Pentene,AIR,Inactive,,,,,,
,43227,3,cis-2-Pentene,AIR,Inactive,,,,,,
