AQS Code  Sort by AQS Code descending,CAMS,TCEQ Region,Reg#,Site Name,Street Address,City,ZIP,Latitude,Longitude,Elevation,UTM Zone,UTM Letter,Easting Meters,Northing Meters,Params,Activation Date,Deactivation Date,Owned By
480971504,1504,DALLAS/FORT WORTH,4,Gainesville Doss Street,1112 Doss Street,Gainesville,76240,33.63317,-97.153805,,14,S,684710,3763959,93,1-Oct-13,Active,North Texas Commission
481095018,5018,EL PASO,6,Guadalupe Pass KGDP,Pine Springs,Guadalupe Mountains National Park,,31.831111,-104.814444,1646.0m,13,S,500000,3540436,13,1-Aug-05,Active,National Weather Service
481130018,,DALLAS/FORT WORTH,4,Morrell,3049 Morrell,Dallas,,32.744981,-96.7818829,,14,S,686847,3653064,2,1-Jan-69,Active,TCEQ
481130050,312,DALLAS/FORT WORTH,4,Convention Center,717 South Akard,Dallas,,32.7742622,-96.7976859,,14,S,686847,3653064,82,1-Jan-79,Active,City of Dallas Air Pollution Control Section
481130061,,DALLAS/FORT WORTH,4,Earhart,3434 Bickers (Earhart Elem School),Dallas,,32.7853591,-96.8765711,,14,S,686847,3653064,1,1-Jan-09,Active,TCEQ
481130069,"0060, 0161, 0401, 3002 ",DALLAS/FORT WORTH,4,Dallas Hinton,1415 Hinton Street,Dallas,,32.8200608,-96.8601165,,14,S,686847,3653064,265,1-Jan-86,Active,City of Dallas Air Pollution Control Section
481130075,"0063, 0679 ",DALLAS/FORT WORTH,4,Dallas North #2,12532 1/2 Nuestra Drive,Dallas,,32.9192056,-96.8084975,,14,S,686847,3653064,12,2-Nov-98,Active,TCEQ
481130087,402,DALLAS/FORT WORTH,4,Dallas Redbird Airport Executive,3277 W Redbird Lane,Dallas,,32.6764506,-96.8720596,,14,S,686847,3653064,10,1-Jan-95,Active,City of Dallas Air Pollution Control Section
481131067,1067,DALLAS/FORT WORTH,4,Dallas LBJ Freeway,8652 LBJ Freeway,Dallas,,32.92118,-96.75355,177.0m,14,S,686847,3653064,9,1-Apr-14,Active,TCEQ
481131500,1500,DALLAS/FORT WORTH,4,Lancaster Cedardale,1930 Cedardale Road,Lancaster,75134,32.630011,-96.800599,,14,S,686847,3653064,93,1-Sep-13,Active,North Texas Commission
481131505,1505,DALLAS/FORT WORTH,4,Dallas Elm Fork,2171 Manana Drive,Dallas,75220,32.879107,-96.913552,,14,S,686847,3653064,57,18-Nov-13,Active,North Texas Commission
481210034,"0056, 0157, 0163 ",DALLAS/FORT WORTH,4,Denton Airport South,Denton Airport South,Denton,,33.219069,-97.1962836,183.0m,14,S,686847,3653064,103,16-Feb-98,Active,TCEQ
481211007,1007,DALLAS/FORT WORTH,4,Flower Mound Shiloh,4401 Shiloh Road,Flower Mound,75022,33.0458619,-97.1300022,194.0m,14,S,686847,3653064,57,27-Oct-10,Active,North Texas Commission
481211013,1013,DALLAS/FORT WORTH,4,DISH Airfield,9800 Clark Airport Road,Dish,72647,33.13093,-97.29765,667.0m,14,S,686847,3653064,57,31-Mar-10,Active,North Texas Commission
